*B. Subtilis*
*B. schlosseri*
*Ectropis obliqua*
*M. alternatus*
*Mytilus coruscus*
*Phlebiopsis gigantea*
<i>A. sinica</i>
<i>A. thaliana</i>
<i>C. reniformis</i>
<i>Lactobacillus casei</i>
<i>Paphies australis</i>
<i>Rhodnius prolixus</i>
"<italic toggle=""yes"">Coriolus versicolor</italic>"
"<italic toggle=""yes"">Meligethes</italic> (<italic toggle=""yes"">Odonthogethes</italic>) <italic toggle=""yes"">chinensis</italic>"
"<italic toggle=""yes"">Phocaeicola vulgatus</italic>"
<italic>Aphrocallistes vastus</italic>
<italic>Aspergillus fumigatus</italic>
<italic>Coptothyris grayi</italic>
<italic>Deinococcus radiodurans</italic>
<italic>Gibberella fujikuroi</italic>
<italic>Haematococcus pluvialis</italic>
<italic>Legionella pneumophila</italic>
<italic>Lentilactobacillus parabuchneri</italic>
<italic>Locusta migratoria</italic>
<italic>Microbulbifer</italic> sp.
<italic>Micrura alaskensis</italic>
<italic>Paracoccidioides lutzii</italic>
<italic>Paradiplozoon homoion</italic>
<italic>Rhodococcus pyridinivorans</italic>
<italic>Rhodothermus marinus</italic>
<italic>Skeletonema pseudocostatum</italic>
<italic>Streptococcus mutans</italic>
<italic>Thrips palmi</italic>
<italic>Trichoderma reesei</italic>
A. albopictus
A. sinensis
A. sumul
A. thaliana
Abelmoschus esculentus
Acacia mangium
Acanthamoeba
Acanthopagrus schlegelii
Acanthosaura
Acanthurus triostegus
Acetobacter pasteurianus
Acheta domesticus
Acholeplasma laidlawii
Acidiphilium multivorum
Acinetobacter baumannii
Acinetobacter sp.
Acipenser naccarii
Acomys cahirinus
Acropora valida
Actinidia arguta
Actinidia eriantha
Actinobacillus pleuropneumoniae
Actinobacteria
Actinomyces ruminicola
Actinopterygii (ray-finned fishes)
Adansonia digitata
Ae. aegypti
Ae. albopictus
Aedes aegypti
Aedes albopictus
Aedes albopictus (mosquito)
Aeromonas hydrophila
African bichir
African buffalo
African catfish
African clawed frog
African dormouse
African green monkey
African wild dog
Agaricomycetes
Agaricus bisporus
Agathis
Agave sisalana
Agrobacterium fabrum
Agropyron intermedium
Ajuga multiflora
Akebia trifoliata
Akkermansia muciniphila
Alatina moseri
Albizia odoratissima
Aldabra giant tortoise
Alestes baremoze
Alicyclobacillus acidoterrestris
Alligator mississippiensis
Allium cepa
Allium sativum
Allium × cornutum
Aloe ferox
Aloe vera
Alphonsea glandulosa
Alpine musk deer
Alternanthera philoxeroides
Alviniconcha
Amanita
Amblyomma sculptum
Ambystoma mexicanum
Ambystoma tigrinum
American alligator
American cockroach
American eel
American miniature horse
Amorphophallus paeoniifolius
Amphidinium cf. carterae
Amphilochus anoculus sp. n.
Amur catfish
Amur sturgeon
Anabas testudineus
Anagallis grandiflora
Anas platyrhynchos
Ancistrus sp.
Andean fox
Angiostrongylus vasorum
Anguilla anguilla
Anguilla australis
Anguilla bicolor bicolor
Anisakis pegreffii
Anisakis simplex
Annelida
Annona
Anolis sagrei
Anopheles
Anopheles albimanus
Anopheles gambiae
Anopheles stephensi
Anoplogaster cornuta
Antarctic fur seal
Antedon mediterranea
Antheraea pernyi
Antispila ampelopsifoliella
Aonyx cinereus
Apicomplexans
Apis dorsata
Apodemus sylvaticus
Apostichopus japonicus
Arabian camel
Arabica coffee tree
Arabidopsis
Arabidopsis lyrata
Arabidopsis thaliana
Arachnocampa luminosa
Arbutus unedo
Argan tree
Arion vulgaris
Artabotrys crassifolius
Artemia salina
Artemisia selengensis
Arthrobacter
Arthrobacter agilis
Arthrospira
Artibeus lituratus
Arundo donax
Arvicanthis niloticus
Arxula adeninivorans
Ascaris lumbricoides
Ascaris suum
Ashbya gossypii
Asian citrus psyllid
Asian elephant
Asian hornet
Asian openbill
Asian seabass
Aspalathus linearis
Aspergillus
Aspergillus cristatus
Aspergillus flavus
Aspergillus fumigatus
Aspergillus nidulans
Aspergillus niger
Aspergillus niger sensu stricto
Aspergillus oryzae
Aspergillus terreus
Aspergillus tubingensis
Asphodelus bento-rainhae subsp. bento-rainhae
Astatotilapia burtoni
Astatotilapia calliptera
Astrolepis
Astyanax altiparanae
Astyanax bimaculatus
Astyanax mexicanus
Atlantic cod
Atlantic halibut
Atlantic killifish
Atlantic salmon
Atlantic salmon louse
Aureobasidium pullulans
Australasian crested grebe
Australian lungfish
Austromesocypris sp.
Avena sativa
Averrhoa carambola
Aves
Avian broiler
Avicennia marina
Aythya fuligula
Azara's agouti
Azospirillum
B. cereus
B. grunniens
B. licheniformis
B. subtilis
Babyrousa babyrussa
Bacillus
Bacillus amyloliquefaciens
Bacillus atrophaeus
Bacillus cereus
Bacillus haynesii
Bacillus licheniformis
Bacillus megaterium
Bacillus mojavensis
Bacillus paralicheniformis
Bacillus siamensis
Bacillus subtilis
Bacillus tequilensis
Bacillus thuringiensis
Bacillus velezensis
Bacteroides fragilis
Bactrian camel
Bactrocera dorsalis
Bagrus bajad
Ballan wrasse
Bambusa balcooa
Barbonymus gonionotus
Barramundi
Basidiomycetes yeasts
Bathyplectes anurus
Beagle dog
Beauveria bassiana
Begonia
Bengal tiger
