FTP
Female
Hermaphrodite
M
Male
XX
XY
adult
both
both genders
both male and female
both males and females
both sexes
either
either sex
f
female
female and male
female or female-spayed
hermaphrodite
hermaphroditic
male
male and female
male/female
mixed-sex
mostly females
neonatal
newborn
nymph
sexless
unknown
