graphic,ftu,organ
PMC10018169_fcell-11-1142929-g002_panel_1.jpg,cortical collecting duct,kidney
PMC10018169_fcell-11-1142929-g002_panel_2.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g001_panel_1.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g003_panel_1.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g005_panel_1.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g007_panel_1.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g003_panel_1.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g003_panel_2.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g008_panel_1.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g008_panel_2.jpg,cortical collecting duct,kidney
